id,displayName,description,icon,level,equipmentTier,weaponOwner,cargoSize,baseDamageMin,baseDamageMax,rangeMin,rangeMax,energyCostMin,energyCostMax,projectileLifetimeMin,projectileLifetimeMax,isHitscan,weaponType,damageType,targetingMode,projectilePrefabRef,usesAmmo,maxAmmoChargesMin,maxAmmoChargesMax
weapon_common_laser_bronze_L01_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,1,Bronze,PlayerAndRangers,4,8,9,6.32,6.98,2,4,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0
weapon_common_laser_silver_L01_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,1,Silver,PlayerAndRangers,3,9,11,6.65,7.35,1,3,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0
weapon_common_laser_gold_L01_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,1,Gold,PlayerAndRangers,2,10,13,7.05,7.79,0,2,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0
weapon_common_laser_bronze_L02_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,2,Bronze,PlayerAndRangers,5,8,12,6.42,7.11,2,4,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0
weapon_common_laser_silver_L02_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,2,Silver,PlayerAndRangers,4,10,14,6.76,7.48,1,3,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0
weapon_common_laser_gold_L02_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,2,Gold,PlayerAndRangers,3,12,16,7.17,7.93,0,2,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0
weapon_common_laser_bronze_L03_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,3,Bronze,PlayerAndRangers,6,10,14,6.54,7.22,2,4,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0
weapon_common_laser_silver_L03_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,3,Silver,PlayerAndRangers,5,12,16,6.88,7.6,1,3,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0
weapon_common_laser_gold_L03_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,3,Gold,PlayerAndRangers,4,14,18,7.29,8.06,0,2,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0
weapon_common_laser_bronze_L04_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,4,Bronze,PlayerAndRangers,7,13,16,6.64,7.34,3,5,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0
