id,displayName,description,icon,level,equipmentTier,weaponOwner,cargoSize,baseDamageMin,baseDamageMax,rangeMin,rangeMax,energyCostMin,energyCostMax,projectileLifetimeMin,projectileLifetimeMax,isHitscan,weaponType,damageType,targetingMode,projectilePrefabRef,usesAmmo,maxAmmoChargesMin,maxAmmoChargesMax,autoDetectShotType,shotType,shotCount
weapon_common_laser_bronze_L01_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,1,Bronze,PlayerAndRangers,4,8,9,155.71,173.64,2,4,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0,False,Beam,5
weapon_common_laser_silver_L01_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,1,Silver,PlayerAndRangers,3,9,11,164.67,183.70,1,3,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0,False,Beam,5
weapon_common_laser_gold_L01_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,1,Gold,PlayerAndRangers,2,10,13,175.54,195.65,0,2,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0,False,Beam,5
weapon_common_laser_bronze_L02_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,2,Bronze,PlayerAndRangers,5,8,12,158.42,177.17,2,4,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0,False,Beam,5
weapon_common_laser_silver_L02_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,2,Silver,PlayerAndRangers,4,10,14,167.66,187.23,1,3,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0,False,Beam,5
weapon_common_laser_gold_L02_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,2,Gold,PlayerAndRangers,3,12,16,178.80,199.46,0,2,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0,False,Beam,5
weapon_common_laser_bronze_L03_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,3,Bronze,PlayerAndRangers,6,10,14,161.68,180.16,2,4,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0,False,Beam,5
weapon_common_laser_silver_L03_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,3,Silver,PlayerAndRangers,5,12,16,170.92,190.49,1,3,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0,False,Beam,5
weapon_common_laser_gold_L03_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,3,Gold,PlayerAndRangers,4,14,18,182.07,202.99,0,2,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0,False,Beam,5
weapon_common_laser_bronze_L04_01,Лазер,"Тонкий cyan-white лазерный луч для ранней игры. Быстрый, стабильный, простой для чтения. IMG: PNG 512×512, transparent background, centered projectile/VFX sprite, pivot center, no text, no watermark, mobile-friendly, stylized sci-fi, pseudo-3D/top-down readable silhouette.",icon_weapon_common_laser,4,Bronze,PlayerAndRangers,7,13,16,164.40,183.42,3,5,1,1,True,Laser,Energy,SelectedTarget,prefab_weapon_common_laser_projectile,False,0,0,False,Beam,5
