assetId,folder,ownerSide,ownerType,level,scenario,displayName,description,engageEnemiesWeight,unityCompatibility,generatorNote
ally_behaviour_military_L01_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,1,Normal,Ally Military L01 Normal,Military L01: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L01_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,1,EnemyInvasion,Ally Military L01 EnemyInvasion,Military L01: враги атакуют нашу систему.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L01_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,1,EnemySystemInvasion,Ally Military L01 EnemySystemInvasion,Military L01: мы атакуем систему врагов.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L02_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,2,Normal,Ally Military L02 Normal,Military L02: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L02_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,2,EnemyInvasion,Ally Military L02 EnemyInvasion,Military L02: враги атакуют нашу систему.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L02_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,2,EnemySystemInvasion,Ally Military L02 EnemySystemInvasion,Military L02: мы атакуем систему врагов.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L03_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,3,Normal,Ally Military L03 Normal,Military L03: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L03_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,3,EnemyInvasion,Ally Military L03 EnemyInvasion,Military L03: враги атакуют нашу систему.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L03_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,3,EnemySystemInvasion,Ally Military L03 EnemySystemInvasion,Military L03: мы атакуем систему врагов.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L04_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,4,Normal,Ally Military L04 Normal,Military L04: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
