id,displayName,description,level,groupKind,allyType,enemyFaction,strengthRank,strengthOrder,weaponOwner,weaponOwnerKey,variant,weaponCount,powerScore,tierPattern,familyPattern,weaponConfig01,weaponConfig02,weaponConfig03,weaponConfig04,weaponConfig05,actualWeaponCount,countCheck,strictLevelCheck,ownerCheck,referenceCheck,duplicateCheck,mixedTierCheck,allyOrderCheck,overallCheck,sourceBranch,sourceCsvPath,sourceNote
weapon_group_ally_military_L01_01,"Военные — уровень 1, вариант 1","Сильнейшие союзные боевые группы: тяжёлое и дальнобойное оружие, высокий tier-mix. Strict-level: 1; weapon count: 1; primary focus: ракетный удар. Tier-mix intentionally avoids mono-tier groups when weaponCount > 1.",1,Ally,Military,,5,1 — strongest ally,PlayerAndRangers,common,1,1,305,Gold,missile,weapon_common_missile_gold_L01_01,,,,,1,OK,OK,OK,OK,OK,N/A_ONE_WEAPON,OK,OK,stage-2a-sprint-4-2026.08.03,Assets/_Project/Content/Configs/Weapons/STAR_FRONTIER_WeaponConfig_300_config_fields_RU_no_enemy_types_v0.9_cargo_rules.csv,common WeaponConfig IDs are reused by all ally types; difference is in WeaponGroupConfig composition.
weapon_group_ally_military_L01_02,"Военные — уровень 1, вариант 2","Сильнейшие союзные боевые группы: тяжёлое и дальнобойное оружие, высокий tier-mix. Strict-level: 1; weapon count: 1; primary focus: дальний бой. Tier-mix intentionally avoids mono-tier groups when weaponCount > 1.",1,Ally,Military,,5,1 — strongest ally,PlayerAndRangers,common,2,1,304,Gold,railgun,weapon_common_railgun_gold_L01_01,,,,,1,OK,OK,OK,OK,OK,N/A_ONE_WEAPON,OK,OK,stage-2a-sprint-4-2026.08.03,Assets/_Project/Content/Configs/Weapons/STAR_FRONTIER_WeaponConfig_300_config_fields_RU_no_enemy_types_v0.9_cargo_rules.csv,common WeaponConfig IDs are reused by all ally types; difference is in WeaponGroupConfig composition.
weapon_group_ally_military_L01_03,"Военные — уровень 1, вариант 3","Сильнейшие союзные боевые группы: тяжёлое и дальнобойное оружие, высокий tier-mix. Strict-level: 1; weapon count: 1; primary focus: тяжёлый залп. Tier-mix intentionally avoids mono-tier groups when weaponCount > 1.",1,Ally,Military,,5,1 — strongest ally,PlayerAndRangers,common,3,1,303,Gold,plasma,weapon_common_plasma_gold_L01_01,,,,,1,OK,OK,OK,OK,OK,N/A_ONE_WEAPON,OK,OK,stage-2a-sprint-4-2026.08.03,Assets/_Project/Content/Configs/Weapons/STAR_FRONTIER_WeaponConfig_300_config_fields_RU_no_enemy_types_v0.9_cargo_rules.csv,common WeaponConfig IDs are reused by all ally types; difference is in WeaponGroupConfig composition.
weapon_group_ally_military_L01_04,"Военные — уровень 1, вариант 4","Сильнейшие союзные боевые группы: тяжёлое и дальнобойное оружие, высокий tier-mix. Strict-level: 1; weapon count: 1; primary focus: ракетный удар. Tier-mix intentionally avoids mono-tier groups when weaponCount > 1.",1,Ally,Military,,5,1 — strongest ally,PlayerAndRangers,common,4,1,305,Gold,missile,weapon_common_missile_gold_L01_01,,,,,1,OK,OK,OK,OK,OK,N/A_ONE_WEAPON,OK,OK,stage-2a-sprint-4-2026.08.03,Assets/_Project/Content/Configs/Weapons/STAR_FRONTIER_WeaponConfig_300_config_fields_RU_no_enemy_types_v0.9_cargo_rules.csv,common WeaponConfig IDs are reused by all ally types; difference is in WeaponGroupConfig composition.
weapon_group_ally_military_L01_05,"Военные — уровень 1, вариант 5","Сильнейшие союзные боевые группы: тяжёлое и дальнобойное оружие, высокий tier-mix. Strict-level: 1; weapon count: 1; primary focus: дальний бой. Tier-mix intentionally avoids mono-tier groups when weaponCount > 1.",1,Ally,Military,,5,1 — strongest ally,PlayerAndRangers,common,5,1,304,Gold,railgun,weapon_common_railgun_gold_L01_01,,,,,1,OK,OK,OK,OK,OK,N/A_ONE_WEAPON,OK,OK,stage-2a-sprint-4-2026.08.03,Assets/_Project/Content/Configs/Weapons/STAR_FRONTIER_WeaponConfig_300_config_fields_RU_no_enemy_types_v0.9_cargo_rules.csv,common WeaponConfig IDs are reused by all ally types; difference is in WeaponGroupConfig composition.
weapon_group_ally_military_L02_01,"Военные — уровень 2, вариант 1","Сильнейшие союзные боевые группы: тяжёлое и дальнобойное оружие, высокий tier-mix. Strict-level: 2; weapon count: 1; primary focus: ракетный удар. Tier-mix intentionally avoids mono-tier groups when weaponCount > 1.",2,Ally,Military,,5,1 — strongest ally,PlayerAndRangers,common,1,1,305,Gold,missile,weapon_common_missile_gold_L02_01,,,,,1,OK,OK,OK,OK,OK,N/A_ONE_WEAPON,OK,OK,stage-2a-sprint-4-2026.08.03,Assets/_Project/Content/Configs/Weapons/STAR_FRONTIER_WeaponConfig_300_config_fields_RU_no_enemy_types_v0.9_cargo_rules.csv,common WeaponConfig IDs are reused by all ally types; difference is in WeaponGroupConfig composition.
weapon_group_ally_military_L02_02,"Военные — уровень 2, вариант 2","Сильнейшие союзные боевые группы: тяжёлое и дальнобойное оружие, высокий tier-mix. Strict-level: 2; weapon count: 1; primary focus: дальний бой. Tier-mix intentionally avoids mono-tier groups when weaponCount > 1.",2,Ally,Military,,5,1 — strongest ally,PlayerAndRangers,common,2,1,304,Gold,railgun,weapon_common_railgun_gold_L02_01,,,,,1,OK,OK,OK,OK,OK,N/A_ONE_WEAPON,OK,OK,stage-2a-sprint-4-2026.08.03,Assets/_Project/Content/Configs/Weapons/STAR_FRONTIER_WeaponConfig_300_config_fields_RU_no_enemy_types_v0.9_cargo_rules.csv,common WeaponConfig IDs are reused by all ally types; difference is in WeaponGroupConfig composition.
weapon_group_ally_military_L02_03,"Военные — уровень 2, вариант 3","Сильнейшие союзные боевые группы: тяжёлое и дальнобойное оружие, высокий tier-mix. Strict-level: 2; weapon count: 1; primary focus: тяжёлый залп. Tier-mix intentionally avoids mono-tier groups when weaponCount > 1.",2,Ally,Military,,5,1 — strongest ally,PlayerAndRangers,common,3,1,303,Gold,plasma,weapon_common_plasma_gold_L02_01,,,,,1,OK,OK,OK,OK,OK,N/A_ONE_WEAPON,OK,OK,stage-2a-sprint-4-2026.08.03,Assets/_Project/Content/Configs/Weapons/STAR_FRONTIER_WeaponConfig_300_config_fields_RU_no_enemy_types_v0.9_cargo_rules.csv,common WeaponConfig IDs are reused by all ally types; difference is in WeaponGroupConfig composition.
weapon_group_ally_military_L02_04,"Военные — уровень 2, вариант 4","Сильнейшие союзные боевые группы: тяжёлое и дальнобойное оружие, высокий tier-mix. Strict-level: 2; weapon count: 1; primary focus: ракетный удар. Tier-mix intentionally avoids mono-tier groups when weaponCount > 1.",2,Ally,Military,,5,1 — strongest ally,PlayerAndRangers,common,4,1,305,Gold,missile,weapon_common_missile_gold_L02_01,,,,,1,OK,OK,OK,OK,OK,N/A_ONE_WEAPON,OK,OK,stage-2a-sprint-4-2026.08.03,Assets/_Project/Content/Configs/Weapons/STAR_FRONTIER_WeaponConfig_300_config_fields_RU_no_enemy_types_v0.9_cargo_rules.csv,common WeaponConfig IDs are reused by all ally types; difference is in WeaponGroupConfig composition.
weapon_group_ally_military_L02_05,"Военные — уровень 2, вариант 5","Сильнейшие союзные боевые группы: тяжёлое и дальнобойное оружие, высокий tier-mix. Strict-level: 2; weapon count: 1; primary focus: дальний бой. Tier-mix intentionally avoids mono-tier groups when weaponCount > 1.",2,Ally,Military,,5,1 — strongest ally,PlayerAndRangers,common,5,1,304,Gold,railgun,weapon_common_railgun_gold_L02_01,,,,,1,OK,OK,OK,OK,OK,N/A_ONE_WEAPON,OK,OK,stage-2a-sprint-4-2026.08.03,Assets/_Project/Content/Configs/Weapons/STAR_FRONTIER_WeaponConfig_300_config_fields_RU_no_enemy_types_v0.9_cargo_rules.csv,common WeaponConfig IDs are reused by all ally types; difference is in WeaponGroupConfig composition.
